dataset_id,scenario_id,exec_num,agent_type,frame,scenario_status,ego_id,c_x,c_y,c_speed,c_acceleration,target_speed,c_steer,c_throttle,c_brake,perceived_c_x,perceived_c_y,perceived_c_speed,gaze_direction,preceding_id,a_x,a_y,a_speed
1,1,1,cogmod,1935,ScenarioState.PENDING,386,-377.0792236328125,363.9156799316406,26.48537254333496,26.48537254333496,28.621514170936543,0.049845755100250244,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1936,ScenarioState.PENDING,386,-377.3426513671875,362.8871154785156,26.58173370361328,26.58173370361328,28.621514170936543,-0.002953907707706094,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1937,ScenarioState.PENDING,386,-377.6052551269531,361.8542785644531,26.67743682861328,26.67743682861328,28.879181084349607,-0.01074147503823042,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1938,ScenarioState.PENDING,386,-377.8634338378906,360.8166809082031,26.762706756591797,26.762706756591797,28.879181084349607,0.04982941225171089,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1939,ScenarioState.PENDING,386,-378.1191711425781,359.7746887207031,26.858661651611328,26.858661651611328,28.879181084349607,-0.0029305133502930403,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1940,ScenarioState.PENDING,386,-378.3739318847656,358.728515625,26.953962326049805,26.953962326049805,29.135044736346725,-0.010716608725488186,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1941,ScenarioState.PENDING,386,-378.6241760253906,357.6776123046875,27.03876495361328,27.03876495361328,29.135044736346725,0.04986492544412613,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1942,ScenarioState.PENDING,386,-378.871826171875,356.6222839355469,27.134307861328125,27.134307861328125,29.135044736346725,-0.002887880429625511,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1943,ScenarioState.PENDING,386,-379.1183776855469,355.5628967285156,27.229204177856445,27.229204177856445,29.38905713135901,-0.010690080933272839,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1944,ScenarioState.PENDING,386,-379.3596496582031,354.49871826171875,27.308761596679688,27.308761596679688,29.38905713135901,0.06791561096906662,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1945,ScenarioState.PENDING,386,-379.59783935546875,353.43017578125,27.404163360595703,27.404163360595703,29.38905713135901,-0.0012762753758579493,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1946,ScenarioState.PENDING,386,-379.8349609375,352.3575744628906,27.498775482177734,27.498775482177734,29.6368305923972,-0.012826661579310894,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1947,ScenarioState.PENDING,386,-380.0674133300781,351.2802734375,27.583354949951172,27.583354949951172,29.6368305923972,0.04622085392475128,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1948,ScenarioState.PENDING,386,-380.2969055175781,350.1986389160156,27.678010940551758,27.678010940551758,29.6368305923972,-0.004398351069539785,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1949,ScenarioState.PENDING,386,-380.52496337890625,349.11279296875,27.772024154663086,27.772024154663086,29.888137090347875,-0.01122454833239317,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1950,ScenarioState.PENDING,386,-380.7479248046875,348.02239990234375,27.85530662536621,27.85530662536621,29.888137090347875,0.04848550260066986,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1951,ScenarioState.PENDING,386,-380.9678039550781,346.92767333984375,27.949485778808594,27.949485778808594,29.888137090347875,-0.002659458201378584,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1952,ScenarioState.PENDING,386,-381.1861877441406,345.828857421875,28.0430965423584,28.0430965423584,30.136331844746636,-0.010130629874765873,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1953,ScenarioState.PENDING,386,-381.3987731933594,344.7254943847656,28.121089935302734,28.121089935302734,30.136331844746636,0.06685914844274521,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1954,ScenarioState.PENDING,386,-381.60797119140625,343.6178894042969,28.215181350708008,28.215181350708008,30.136331844746636,-0.0010449342662468553,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.RIGHTMIRROR,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1955,ScenarioState.PENDING,386,-381.8156433105469,342.5061340332031,28.308557510375977,28.308557510375977,30.37821608601459,-0.012174342758953571,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1956,ScenarioState.PENDING,386,-382.018310546875,341.38995361328125,28.391708374023438,28.391708374023438,30.37821608601459,0.04565388336777687,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1957,ScenarioState.PENDING,386,-382.2176513671875,340.26953125,28.485055923461914,28.485055923461914,30.37821608601459,-0.0040183300152421,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1958,ScenarioState.PENDING,386,-382.4151611328125,339.1449890136719,28.577802658081055,28.577802658081055,30.62379473315827,-0.010765088722109795,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1959,ScenarioState.PENDING,386,-382.6064758300781,338.01605224609375,28.654930114746094,28.654930114746094,30.62379473315827,0.06523890048265457,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1960,ScenarioState.PENDING,386,-382.7940979003906,336.8829345703125,28.748083114624023,28.748083114624023,30.62379473315827,-0.0011865184642374516,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1961,ScenarioState.PENDING,386,-382.9798889160156,335.7457275390625,28.840593338012695,28.840593338012695,30.861965757962466,-0.011917968280613422,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1962,ScenarioState.PENDING,386,-383.1603698730469,334.6042175292969,28.922775268554688,28.922775268554688,30.861965757962466,0.04501834884285927,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1963,ScenarioState.PENDING,386,-383.3373107910156,333.45855712890625,29.015213012695312,29.015213012695312,30.861965757962466,-0.003746453672647476,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1964,ScenarioState.PENDING,386,-383.51202392578125,332.3088073730469,29.107093811035156,29.107093811035156,31.103601855997624,-0.010364007204771042,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1965,ScenarioState.PENDING,386,-383.6804504394531,331.15496826171875,29.183305740356445,29.183305740356445,31.103601855997624,0.06442587822675705,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1966,ScenarioState.PENDING,386,-383.8448791503906,329.9969177246094,29.275562286376953,29.275562286376953,31.103601855997624,-0.0010836150031536818,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1967,ScenarioState.PENDING,386,-384.00726318359375,328.8348693847656,29.367229461669922,29.367229461669922,31.337931702481644,-0.011656805872917175,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
1,1,1,cogmod,1968,ScenarioState.PENDING,386,-384.16412353515625,327.66864013671875,29.44854736328125,29.44854736328125,31.337931702481644,0.044514670968055725,0.9900000095367432,0.0,0.0,0.0,0.0,GazeDirection.CENTER,380,109.47999572753906,0.7199999690055847,34.160072326660156
